Wales,,2000,0,0,0,51,0,0,0,0,51
,,2001,0,0,0,46,0,0,0,0,46
,,2002,0,0,0,50,0,0,0,0,50
,,2003,0,0,0,43,0,0,0,0,43
,,2004,0,0,0,33,0,0,0,0,33
,,2005,0,0,0,45,0,0,0,0,45
,,2006,0,0,0,37,0,0,0,0,37
,,2007,0,0,0,35,0,0,0,0,35
,,2008,0,0,0,39,0,0,0,0,39
,,2009,0,0,0,62,0,0,0,0,62
,(k),2010,0,0,0,22,0,0,0,0,23
